"1 - 2","131","5","2","1","45","Asfaltimi i rr. në fsh. Dardani në drejtim të fsh. Zllatar","15.06.2015","120000","70915.39999999999","0","Papenburg & Adriani company shpk","","1","1","1"
"1","085","2","2","1","85","Mirëmbajtja dhe servisimi me pjesë rezervë për aparat diagnostik për QKMF ","15.06.2015","9990","9875","0","Kosova med","","1","1","1"
"2","138","1","2","1","33","Furnizimi me paisje mjekësore për nevoja të QKMF- së-Kontrat Kornize","15.06.2015","80000","89380","0","Kosova med","","1","1","1"
"2","321","1","2","1","30","Furnizimi me material shpenzues për nevoja të Administratës Komunale, Shkollave, QKMF-së, BZ- së dhe QPS-së- Ferizaj-Kontratë Kornize","19.06.2015","35000","34102.9","0","NTP Libri","","1","1","1"
"1","169 2014","5","2","1","45","Asfaltimi i rr. në fsh. Pleshinë te Fabrika e Ujit- Ferizaj, ANEKS","22.06.2015","","","6991.8","NNP Strassen & Tiefbau","","","",""
"2","085 2013","5","2","1","45","Rregullimi i qendrës së qytetit në Ferizaj-ANEKS","22.06.2015","","","82201.35000000001","Konz: Eskavatori company Shpk  dhe Gërlica company shpk","","","",""
"2","076 2013","5","2","1","45","Ndërtimi me katër korsi i rr. Rexhep Bislimi- projekt dy vjeçar ANEKS","22.06.2015","","","175519.89","Papenburg & Adriani company shpk","","","",""
"","182","1","3","6","28","Furnizimi dhe vendosja e hartave turistike ","22.06.2015","6000","6000","0","NTP Intergraf","","1","1","1"
"1","200","2","3","6","73","Hartimi i projektit ideor për ndërtimin e objektit të Kinos","22.06.2015","10000","7300","0","NPN Dynamic com","","1","1","1"
"2","187","2","3","6","77","Vaksinimi i qenve me pronarë","22.06.2015","7000","7000","0","AV Animals","","1","1","1"
"1","188","5","3","6","45","Vendosja e gypave për largimin e ujrave atmosferik në fsh. Varosh Lagjja e Berishajve me shtrirje deri te magjistralja Ferizaj- Kaçanik","24.06.2015","9974","9912.799999999999","0","NPT Beshi com","","1","1","1"
"1","205","2","3","6","73","Hartimi i projektit ideor për ndërtimin e objektit të Spitalit","26.06.2015","10000","9750","0","B.P. New design","","1","1","1"
"","60","5","3","6","45","LOT IV- Meremetimi i shf. Skenderbeu- Ferizaj","26.06.2015","8000","1974.5","0","Murseli company sh.p.k.","","1","1","1"
"2","61","5","3","6","45","LOT III- Ndërtimi i rrethojës në oborrin e shkollës fillore në fsh. Muhovc- Ferizaj","26.06.2015","25000","17968.15","0","Elsam company SHPK","","1","1","1"
"2","62","5","3","6","45","LOT I- Nddërtimi i rrethojës në oborrin e  shf. Në Surqinë","26.06.2015","25000","9654.15","0","Elsam company SHPK","","1","1","1"
"2","63","5","3","6","45","LOT II- Ndërtimi i rrethojës në oborrin e shf. Hajriz Muhadini në fsh. Dremjak","26.06.2015","25000","10321.25","0","Elsam company SHPK","","1","1","1"
"2","64","2","2","1","92","Transmetimi integral i seancave te KK, publikimet, njoftimet, konkurset dhe emisionet e ndryshme informative ne TV per nevoja te Komunes Ferizaj- LOT I- Kontratë Kornize","26.06.2015","","37500","0","QM Tema","","1","1","1"
"1","091 2013","5","2","5","45","Rregullimi i qasjes së rr Vëllezërit Gërvalla në rr Ahmet Kaqiku- Ferizaj, ANEKS","26.06.2015","","","10019.95","Linda SHPK","","1","",""
"2","66","2","2","1","93","LOT II- Informimi i qytetareve te K.Ferizajt per rrjedhen e seancave te Asamblese Komunale permes transmetimit te xhirimit burimor- KONTRATE KORNIZE","25.06.2015","","18000","0","N.SA FESTINA","","1","1","1"
"1","147","1","2","1","1","Furnizimi i fermerëve me sistemin e ujitjes pikë- pikë","29.06.2015","17000","16400","","Agrium shpk","","1","1","1"
"2","68","2","2","1","93","LOT III- Transmetimi i emisioneve, konferencave dhe manifestimever kulturore, sportive per sherbime publike- Kontratë Kornizë","29.06.2015","","30000","","Agro ALBI-TV LIRIA","","1","1","1"
"2","69","2","2","1","93","LOT IV-  Tranmetimi i shpalljeve, njoftimeve dhe konkurseve te K.Ferizaj- Kontratë Kornizë ","29.06.2015","","42000","","Agro ALBI-TV LIRIA","","1","1","1"
